Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
248,Tom Sluby\slubyto01,SG,22,DAL,31,0,4.9,1.0,1.9,.517,0.0,0.1,.000,1.0,1.8,.536,.517,0.4,0.7,.619,0.2,0.2,0.4,0.5,0.1,0.0,0.4,0.6,2.4
249,Derek Smith\smithde02,SG,23,LAC,80,80,34.5,8.5,15.9,.537,0.0,0.2,.158,8.5,15.7,.542,.538,5.0,6.3,.794,2.2,3.2,5.3,2.7,1.0,0.7,2.9,4.0,22.1
250,Larry Smith\smithla01,PF,27,GSW,80,78,31.2,4.6,8.6,.530,0.0,0.0,,4.6,8.6,.530,.530,1.9,3.2,.605,5.1,5.8,10.9,1.2,1.0,0.7,2.0,3.6,11.1
251,Robert Smith\smithro01,PG,29,CLE,7,0,6.9,0.6,2.4,.235,0.0,0.6,.000,0.6,1.9,.308,.235,1.1,1.4,.800,0.0,0.6,0.6,1.0,0.3,0.0,0.4,0.9,2.3
252,Ricky Sobers\soberri01,SG,32,SEA,71,12,21.0,3.9,8.8,.446,0.1,0.4,.286,3.8,8.5,.453,.452,1.9,2.3,.815,0.4,1.1,1.5,3.5,0.7,0.1,2.2,2.2,9.9
253,Rory Sparrow\sparrro01,PG,26,NYK,79,41,29.0,4.1,8.4,.492,0.1,0.4,.226,4.0,8.0,.506,.498,1.5,1.8,.865,0.5,1.7,2.1,7.1,1.0,0.1,1.9,2.5,9.9
254,Larry Spriggs\sprigla01,PF,25,LAL,75,32,17.2,2.6,4.7,.548,0.0,0.0,.000,2.6,4.7,.553,.548,1.5,1.9,.767,1.0,2.0,3.0,1.8,0.6,0.2,1.5,2.6,6.7
255,Terence Stansbury\stanste01,SG,23,IND,74,14,17.3,2.8,6.2,.459,0.1,0.3,.160,2.8,5.9,.476,.463,1.4,1.7,.810,0.5,1.0,1.5,1.7,0.6,0.2,1.1,2.8,7.1
256,Brook Steppe\steppbr01,SG,25,DET,54,0,9.0,1.5,3.3,.466,0.0,0.0,.000,1.5,3.3,.469,.466,1.6,1.9,.837,0.5,0.6,1.1,0.7,0.3,0.1,0.8,1.1,4.7
257,Steve Stipanovich\stipast01,C,24,IND,82,66,28.2,5.0,10.6,.475,0.0,0.1,.091,5.0,10.5,.480,.476,3.6,4.5,.798,1.7,5.8,7.5,2.4,0.9,1.0,2.2,3.2,13.7
258,John Stockton*\stockjo01,PG,22,UTA,82,5,18.2,1.9,4.1,.471,0.0,0.1,.182,1.9,3.9,.481,.474,1.7,2.4,.736,0.3,1.0,1.3,5.1,1.3,0.1,1.8,2.5,5.6
259,Jon Sundvold\sundvjo01,PG,23,SEA,73,1,15.8,2.3,5.5,.425,0.2,0.5,.316,2.2,5.0,.436,.440,0.7,0.8,.814,0.2,0.7,1.0,2.8,0.5,0.0,1.2,1.2,5.5
260,Dane Suttle\suttlda01,SG,23,KCK,6,0,4.0,1.0,2.2,.462,0.0,0.2,.000,1.0,2.0,.500,.462,0.3,0.3,1000,0.0,0.5,0.5,0.3,0.2,0.0,0.2,0.5,2.3
261,Terry Teagle\teaglte01,SG,24,TOT,21,3,16.6,3.5,6.5,.540,0.1,0.2,.500,3.4,6.3,.541,.547,1.2,1.7,.714,1.0,1.0,2.0,0.7,0.6,0.2,0.7,1.7,8.3
261,Terry Teagle\teaglte01,SG,24,DET,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
261,Terry Teagle\teaglte01,SG,24,GSW,19,3,18.1,3.8,7.1,.541,0.1,0.2,.500,3.7,6.9,.542,.548,1.3,1.8,.714,1.2,1.1,2.3,0.7,0.7,0.3,0.7,1.8,9.1
262,Reggie Theus\theusre01,SG,27,KCK,82,80,31.0,6.1,12.5,.487,0.1,0.5,.132,6.0,12.1,.501,.489,4.1,4.7,.863,1.3,2.0,3.3,8.0,1.2,0.2,3.7,3.0,16.4
263,Peter Thibeaux\thibepe01,SF,23,GSW,51,1,9.0,1.8,3.8,.482,0.0,0.0,.000,1.8,3.8,.487,.482,0.8,1.3,.642,0.6,0.8,1.4,0.3,0.2,0.3,0.7,1.7,4.5
264,David Thirdkill\thirdda01,SF,24,TOT,18,3,10.2,1.1,2.1,.526,0.0,0.1,.000,1.1,2.1,.541,.526,0.6,1.1,.579,0.6,0.4,0.9,0.2,0.3,0.2,0.8,1.2,2.8
264,David Thirdkill\thirdda01,SF,24,DET,10,1,11.5,1.2,2.3,.522,0.0,0.1,.000,1.2,2.2,.545,.522,0.5,1.1,.455,0.4,0.4,0.8,0.1,0.3,0.2,1.2,1.6,2.9
264,David Thirdkill\thirdda01,SF,24,MIL,6,0,2.7,0.5,0.7,.750,0.0,0.0,,0.5,0.7,.750,.750,0.2,0.3,.500,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.2,1.2
264,David Thirdkill\thirdda01,SF,24,SAS,2,2,26.0,2.5,5.5,.455,0.0,0.0,,2.5,5.5,.455,.455,2.5,3.0,.833,2.5,1.0,3.5,1.5,1.0,0.5,1.0,2.5,7.5
265,Isiah Thomas*\thomais01,PG,23,DET,81,81,38.1,8.0,17.4,.458,0.4,1.4,.257,7.6,16.0,.476,.468,4.9,6.1,.809,1.4,3.0,4.5,13.9,2.3,0.3,3.7,3.6,21.2
266,Jim Thomas\thomaji01,SG,24,IND,80,52,25.7,4.3,9.1,.478,0.1,0.5,.190,4.2,8.6,.496,.483,2.3,2.9,.782,0.9,2.3,3.3,2.9,1.0,0.1,1.6,2.4,11.1
267,Bernard Thompson\thompbe01,SF,22,POR,59,0,9.1,1.3,3.6,.373,0.0,0.1,.000,1.3,3.5,.387,.373,0.7,0.9,.765,0.6,0.7,1.3,0.9,0.5,0.2,0.6,1.3,3.3
268,LaSalle Thompson\thompla01,C,23,KCK,82,77,30.0,4.5,8.5,.531,0.0,0.0,,4.5,8.5,.531,.531,2.8,3.8,.721,3.3,7.1,10.4,1.6,1.2,1.6,2.5,4.0,11.8
269,Mychal Thompson\thompmy01,PF,30,POR,79,55,33.1,7.2,14.1,.515,0.0,0.0,,7.2,14.1,.515,.515,3.9,5.7,.684,2.7,5.2,7.8,2.6,1.0,1.3,2.9,2.7,18.4
270,Paul Thompson\thomppa01,SF,23,TOT,49,27,19.2,3.9,9.4,.412,0.1,0.6,.200,3.7,8.8,.427,.418,1.4,1.8,.793,1.2,2.1,3.2,1.6,1.1,0.5,1.2,2.4,9.2
